date,temp_max_c,temp_min_c,precipitation_mm,usd_inr_rate
2026-08-24,37.4,29.7,0.0,95.76
2026-08-25,38.7,30.8,0.1,95.42
2026-08-26,38.2,29.3,0.0,95.42
2026-08-27,38.3,30.3,0.0,95.54
2026-08-28,37.3,29.6,0.0,95.39
2026-08-31,35.9,28.6,0.0,95.17
2026-09-01,36.5,29.0,0.0,94.95
2026-09-02,37.5,29.0,0.0,94.97
2026-09-03,37.8,29.0,1.1,94.49
2026-09-04,38.0,29.6,1.2,94.49
2026-09-07,36.4,27.4,0.0,94.49
2026-09-08,36.9,27.5,0.0,94.83
2026-09-09,37.3,27.8,0.0,95.11
2026-09-10,37.3,27.6,0.0,95.44
2026-09-11,37.7,26.7,0.0,95.56
2026-09-14,34.8,27.5,0.1,95.56
2026-09-15,35.6,27.8,0.0,95.96
2026-09-16,36.8,27.6,0.0,95.96
2026-09-17,32.2,23.4,4.2,95.94
2026-09-18,34.4,21.6,6.8,95.88
2026-09-21,34.4,24.4,0.0,95.82
2026-09-22,35.1,24.4,0.0,95.59
